sector_name,subsector_name,series_id,series_name,year,country_name,country_value,income_group_name,income_group_average,subregion_name,region_name,region_average
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2010,Albania,331.0,Upper Middle Income Country (World Bank Classification),2796.62363636363636363636,Balkans,Europe and Eurasia,796.949756097560975609756
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2011,Albania,332.0,Upper Middle Income Country (World Bank Classification),2842.4425,Balkans,Europe and Eurasia,800.115073170731707317073
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2012,Albania,332.0,Upper Middle Income Country (World Bank Classification),2855.29159090909090909091,Balkans,Europe and Eurasia,810.432585365853658536585
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2013,Albania,337.6,Upper Middle Income Country (World Bank Classification),2904.53772727272727272727,Balkans,Europe and Eurasia,816.173756097560975609756
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2014,Albania,353.7,Upper Middle Income Country (World Bank Classification),2941.2675,Balkans,Europe and Eurasia,814.708463414634146341463
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2015,Albania,353.4,Upper Middle Income Country (World Bank Classification),2983.05318181818181818182,Balkans,Europe and Eurasia,813.934707317073170731707
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2016,Albania,353.5,Upper Middle Income Country (World Bank Classification),2943.85811111111111111111,Balkans,Europe and Eurasia,808.322707317073170731707
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2017,Albania,354.4,Upper Middle Income Country (World Bank Classification),2969.772,Balkans,Europe and Eurasia,810.126170731707317073171
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2018,Albania,355.5,Upper Middle Income Country (World Bank Classification),2995.13922222222222222222,Balkans,Europe and Eurasia,791.132395238095238095238
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2019,Albania,356.7,Upper Middle Income Country (World Bank Classification),3007.282,Balkans,Europe and Eurasia,792.1265
